Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Bandali Debs,Male,Australia,Australia,Oceania,1997,1998,1997,1,1990s,5,2,3,"Convicted of the murder of Kirsty Harty at Upper Beaconsfield in 1997, and of the Moorabbin Police murders 14 months later to avoid arrest for a string of armed robberies; sentenced to three consecutive life sentences plus 27 years without the possibility of parole."
Gordon Northcott,Male,United States,United States,North America,1928,1937,1932,9,1930s,12,9,3,"Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexually abused. Police considered Northcott a suspect in the disappearance of as many as 20 missing boys in the area that Northcott admitted to have molested, but not murdered; one of these boys surfaced years later alive and confirmed Northcott's version. According to Clark, only four boys were held and murdered in Northcott's property; the three LA children whose remains were found and for whom Northcott was hanged, and an unidentified Mexican boy that Northcott beheaded and disposed of the body near La Puente, California."
Peter Kudzinowski,Male,United States,United States,North America,1924,1928,1926,4,1920s,4,1,3,"Convicted and executed for the murder of an adult in Scranton, Pennsylvania and two children in New Jersey. Also suspect in the death of two other children in New York City, although Albert Fish later confessed to have murdered one of them himself."
Harvey Glatman,Male,United States,United States,North America,1957,1958,1957,1,1950s,4,1,3,"Known as ""The Lonely Hearts Killer""; Californian rapist and killer; lured women to pose for ""bondage photographs""; executed in the gas chamber on September 18, 1959."
Martha Ann Johnson,Male,United States,United States,North America,1977,1982,1979,5,1970s,4,1,3,"Convicted of smothering three of her children in Atlanta between 1977 and 1982. Sentenced to life in prison on May 5, 1990."
Vlado Taneski,Male,Republic of Macedonia,Republic of Macedonia,Europe,2005,2008,2006,3,2000s,4,1,3,"A crime journalist, Taneski came under suspicion when his articles on the rape and murder of three elderly women included information that had not been disclosed by the police. All the victims were poor, uneducated cleaners and knew Taneski's mother. Taneski killed himself in prison before he could be interrogated for the murder of a fourth woman."
Özkan Zengin,Male,Turkey,Turkey,Asia,2008,2017,2012,9,2010s,4,1,3,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.
Khalil Wheeler-Weaver,Male,United States,United States,North America,2016,2025,2020,9,2020s,4,1,3,"American serial killer from Orange, New Jersey, Wheeler-Weaver lured his victims using dating apps and murdered three women and attempted to kill a fourth between August 2016 and November 2016. One of the victim's friends created a fake account and lured him to a meeting before notifying police."
William Henry Hance,Male,United States,United States,North America,1977,1978,1977,1,1970s,4,1,3,Hance murdered three women in and around military bases in the late 1970s. He attempted to blame two of the murders on white vigilantes outraged over a series of murders later attributed to Carlton Gary. Hance was also blamed for the murder of a fourth woman at Fort Benjamin Harrison in Indiana but was never brought to trial for this crime.
"""Charlie Chop-off""",Male,United States,United States,North America,1972,1973,1972,1,1970s,4,1,3,"Unidentified assailant who attacked young black and Puerto Rican boys and mutilated their genitals with a straight razor, killing three and leaving one castrated. Another suspected victim was killed but did not have his genitals mutilated. A single suspect was arrested for attempting to abduct another boy, confessed to one of the murders and was hesitantly identified by the surviving victim, but was found unfit for trial and may have been in a mental hospital during the murders."
François Vérove,Male,France,France,Europe,1986,1994,1990,8,1990s,6,3,3,"Nicknamed ""Le Grêlé"" (""the pockmarked man""), Verove a former police officer is blamed for four murders and a series of rapes since 1986. His confessed was found on his suicide note alongside body after he killed himself in 2021. The crimes include the 1986 murder of an 11-year-old child, Cécile Bloch, in Paris."
Louise Peete,Male,United States,United States,North America,1912,1942,1927,30,1920s,3,0,3,"Convicted of murdering a man and woman decades apart, four other acquaintances died suspiciously and four husbands committed suicide."
Westley Allan Dodd,Male,United States,United States,North America,1989,1998,1993,9,1990s,3,0,3,"Dodd had an extensive arrest record for molesting children by the time his behavior escalated to include murder. Refusing to appeal his death sentence, he stated that he ""should be punished to the full extent of the law, as should all sex offenders and murderers"", and that if he ever escaped, he would immediately return to ""killing and raping kids"". Executed in 1993; his hanging was the first in the United States in 28 years."
Scott Erskine,Male,United States,United States,North America,1989,1993,1991,4,1990s,3,0,3,Convicted of raping and murdering a woman in 1989 and the torture-murders of 2 boys in 1993. May be linked to other murders.
Donald Leroy Evans,Male,United States,United States,North America,1985,1991,1988,6,1980s,3,0,3,"Murdered a young girl and two women. Suspected of another dozen murders but recanted confessions to over 70 more. Stabbed to death by another death row inmate on January 5, 1999."
John Martin,Male,United Kingdom,United Kingdom,Europe,1995,2004,1999,9,1990s,3,0,3,"(Birth name John Martin Scripps, alias Simon James Davis) While on the run after escaping Britain, Martin killed at least three tourists between 8 and 14 March 1995 and robbed them of their possessions and money: one in Singapore and two in Thailand. He also dismembered their bodies and dumped them in various areas, such as the sea or abandoned places. Martin was also alleged to have killed at least three more people in other countries, such as the US, but these were unconfirmed. He was arrested in Changi Airport when he returned to Singapore on 19 March 1995, and was charged with murder. Martin was found guilty of the one murder he committed in Singapore and thus sentenced to death in November 1995. Martin was executed on 19 April 1996, after he declined to appeal against his sentence."
Richard Evonitz,Male,United States,United States,North America,1996,1997,1996,1,1990s,3,0,3,"Abducted and killed 3 girls in Spotsylvania County, Virginia in 1996 and 1997"
Harvey Carignan,Male,United States,United States,North America,1949,1974,1961,25,1960s,3,0,3,"Serving a life sentence at the Minnesota Correctional Facility – Faribault for the murders of two women. He had been previously convicted for a 1949 rape and murder he committed while stationed in the U.S. Army, in Anchorage, Alaska."
John Joubert,Male,United States,United States,North America,1982,1983,1982,1,1980s,3,0,3,Joubert killed a young boy in Maine and two boys in Nebraska. He was executed by the State of Nebraska in 1996.
Akku Yadav,Male,India,India,Asia,,2004,,,<NA>s,3,0,3,Murdered at least three people and dumped their bodies on the railroad tracks; lynched by a mob of around 200 women.
Michael Madison,Male,United States,United States,North America,2012,2013,2012,1,2010s,3,0,3,"American serial killer from East Cleveland, Ohio who committed at least three murders."
"""Bible John""",Male,United Kingdom,United Kingdom,Europe,1968,1969,1968,1,1960s,3,0,3,"Unidentified serial killer who murdered three women in Glasgow, Scotland. Convicted serial killer Peter Tobin was suspected in the murders, but has since been eliminated as a suspect."
Andrew Dawson,Male,United Kingdom,United Kingdom,Europe,1982,2010,1996,28,1990s,3,0,3,"Killed an elderly man during a burglary in 1982. Following his release from prison, he stabbed two of his neighbors to death in separate incidents, describing himself as an ""Angel of Mercy"". He is currently Derby's only serial killer."
Leonarda Cianciulli,Female,Italy,Italy,Europe,1939,1940,1939,1,1930s,3,0,3,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes."
Sharon Kinne,Female,United States,United States,North America,1960,1964,1962,4,1960s,3,0,3,Sociopathic serial killer that murdered romantic partners with a handgun. Currently still at large since her escape from prison in 1969.
Ted Kaczynski,Male,United States,United States,North America,1978,1995,1986,17,1980s,3,0,3,"Domestic terrorist and serial bomber known as the ""Unabomber"", Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled Industrial Society and Its Future as the work of Kaczynski. Died in prison on June 10, 2023."
Leon Dorsey,Male,United States,United States,North America,1994,2003,1998,9,1990s,3,0,3,"Murdered three people from 4 April-11 September 1994. He was serving 60 years for the murder of an Ellis County convenience store employee when surveillance camera footage linked him to the murders of two other people. He was convicted and sentenced to death in June 2000, and executed on 12 August 2008."
Ronald Jebson,Male,United Kingdom,United Kingdom,Europe,1970,1974,1972,4,1970s,3,0,3,"Jebson, a prolific child molester, was convicted of raping and killing the eight-year-old daughter of acquaintances in 1974. While serving his sentence he pled guilty to molesting and murdering two other children, Susan Blatchford and Gary Hanlon, in 1970."
Charles Albanese,Male,United States,United States,North America,1980,1981,1980,1,1980s,3,0,3,"Albanese poisoned his wife's mother and grandmother and his father with arsenic in order to obtain inheritance money, and unsuccessfully tried to poison his brother and mother. He was sentenced to death in two separate trials and ultimately executed in 1995."
George Chapman,Male,United Kingdom,United Kingdom,Europe,1897,1902,1899,5,1890s,3,0,3,Poisoned three consecutive mistresses with tartar emetic. Considered the possible identity of Jack the Ripper at the time of his execution (1903).
Martha Rendell,Female,Australia,Australia,Oceania,1907,1908,1907,1,1900s,3,0,3,Killed three stepchildren with hydrochloric acid in the 20th century; last woman to be hanged in Western Australia.
George Joseph Smith,Male,United Kingdom,United Kingdom,Europe,1912,1914,1913,2,1910s,3,0,3,"Known as ""The Brides in the Bath Murders""; killer of three women. Executed by hanging on August 13, 1915."
Daisy de Melker,Male,South Africa,South Africa,Africa,1923,1932,1927,9,1920s,3,0,3,Poisoner; killed two husbands and one son from 1923 to 1932.
Eddie Leonski,Male,Australia,Australia,Oceania,1942,1951,1946,9,1940s,3,0,3,Confessed to three murders after being picked out of a line of American servicemen by witnesses. Sentenced to death and hanged.
